app_name,云帐号
msg_confirm_skip,如果之前您使用过YunOS手机的系统配置备份功能，此处登录会帮您恢复之前的系统配置。跳过则无法恢复。
back_to_login,返回登录
checking_phonenum,手机号码验证中...
switch_account_confirm,切换帐号之前，您需要对本登录状态失效的帐号做登出，以便确认一些安全和数据同步选项
logout_success,登出成功
logout_success_login,登出成功，请登录
validate_token,正在验证登录状态
cancel_register,确认退出注册
yunos_login_title,登录YunOS
taobao_account,淘宝帐号
